"Mensagem","Message"
"Status","Status"
"ID","ID"
"Salvar Mensagem","Save Message"
"Excluir Mensagem","Delete Message"
"Editar Mensagem","Edit Message"
"Nova Mensagem","New Message"
"Informações da Mensagem","Message Information"
"Dados da Mensagem","Message Parameters"
"Inserir Variável...","Insert Variable..."
"Template da Mensagem","Message Template"
"Selecione o Canal","Select the Channel"
"Status da Mensagem","Message Status"
"Tipo de Mensagem","Message Type"
"Caso seja formulário, observar os nomes do campos para que tenham os mesmo nomes no magento para atualização no callback.","In case it's a form, if the fields have the same naming pattern in Magento, it will update it on the callback."
"Pode-se usar as variáveis normalmente.","Variables can be used normally."
"Template do E-mail","E-Mail Template"
"Assunto da Mensagem","Message Subject"
"Ativo","Active"
"Inativo","Inactive"
"Ativado, na template selecionada, será enviado esta menssagem para o koiber ao invez do e-mail (apenas se o usuário tiver cadastro no koiber).","When activated on the selected template, the e-mail messages will be sent to koiber instead of the e-mail's inbox."
"Caso preenchido, irá trocar a template padrão do e-mail para o conteudo deste campo.","In case it's filled, the systems default message template will be replaced with whatever is in this text box."
"Título","Title"
"Histórico de Mensagens","Message History"
"Cliente","Customer"
"Nome do Evento","Event Name"
"Canal","Channel"
"Data","Date"
"Conversa Criada","Conversation Created"
"Mensagem Adicionada","Message Added"
"Conversa Encerrada","Conversation Closed"
"Conversa Avaliada","Conversation Rated"
"Visualizar a Mensagem","View Message"
"Último Evento","Last Event"
"Data de Criação da Conversa","Creation Date"
"Data da Última Modificação","Last Modified Date"
"enviado","sent"
"recebido","received"
"em","on"
"Texto","Text"
"Formulário","Form"
"Resposta de Formulário","Form Response"
"INSTRUÇÕES","INSTRUCTIONS"
"O koiber é um aplicativo de envio de mensagens instantânea. Envie mensagens em tempo real para seu cliente com integração total com o magento.","Koiber is an instant message software. Send messages in real time to your customers with total integration with magento."
"Para gerar o TOKEN você terá que ter cadastro no site www.koiber.com (cadastro gratuito) e acessar o Painel -> Integração -> API","To generate your TOKEN you will need to register at www.koiber.com (registration is free) and access Painel -> Integração -> API"
"Para habilitar as notificações para fins de comunicação do Koiber com o Magento, cadastre a seguinte url no Koiber","To activate notifications, for communication purposes from Koiber to Magento, register the following url"
"Para saber mais acesse o site www.koiber.com","To know more access www.koiber.com"
"Canal não localizado","Channel not found"
"Canal koiber","Koiber Channel"
"-- Selecione um canal --","-- Select a channel --"
"-- Selecione uma template --","-- Select a template --"